#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-441274.7082813713,84853.15038988233,296.0901785794083,341.1521346249655,0
0.4%,399998,-440922.28479931457,85904.56902264128,299.75904330988544,341.63564710904865,32.7
0.6%,599997,-441587.25514129223,85249.80777098663,297.4742916531878,339.60750256953276,32.7
0.8%,799996,-440130.5767528103,85850.82083174743,299.5714920950283,341.0937849413359,32.6
1.0%,999995,-441156.1130362223,85492.86731103915,298.32243391177104,340.890250536487,32.6
1.2%,1199994,-440589.4242180567,85328.64924868254,297.7494044463273,341.3358095544064,32.6
1.4%,1399993,-439761.16925295955,84689.98486629484,295.5208218873463,341.63414557042375,32.6
1.6%,1599992,-441304.11694634194,85066.32968144701,296.8340554327578,341.4836887571303,32.6
1.8%,1799991,-440532.4899180033,85433.33896978025,298.11471319529915,340.2388721938266,32.6
2.0%,1999990,-441396.15855131485,85696.73593151418,299.03382171488533,340.1335707771521,32.6
2.2%,2199989,-440509.41746713826,85839.96234608302,299.5336020350281,340.5064926552678,32.5
2.4%,2399988,-441417.20481735,84995.43483807286,296.5866719621552,341.2715123848963,32.5
2.6%,2599987,-442420.77928973595,85803.13871537097,299.4051080976389,339.0943942836173,32.5
2.8%,2799986,-441294.0146184019,85109.1948429303,296.98363094362696,341.2224178379125,32.5
3.0%,2999985,-440773.24299462885,86314.08774426827,301.1880352902775,341.6224335075553,32.5
3.2%,3199984,-441354.8873310094,85102.19193885336,296.95919471339636,340.4323716883733,32.5
3.4%,3399983,-441700.7193140704,85262.97061782493,297.52022264871425,340.57721882544854,32.4
3.6%,3599982,-440893.58146076836,85438.40232029365,298.1323814651375,340.69767763706295,32.4
3.8%,3799981,-441095.2324265605,84153.70104165259,293.6494903848862,339.5326081306892,32.4
4.0%,3999980,-441085.3721797252,85378.53063380292,297.92346266526454,339.6283724585907,32.4
4.2%,4199979,-442070.2012518002,84896.54595490324,296.24160490285715,340.69850045521713,32.4
4.4%,4399978,-441007.8155643493,85760.8887771648,299.25767937294273,340.6212250913358,32.4
4.6%,4599977,-442331.33669428155,86316.3297686578,301.195858705187,339.53586070299787,32.4
4.8%,4799976,-441022.41470122244,85523.49677083758,298.42931364669937,340.3295138571402,32.4
5.0%,4999975,-441394.0173139032,85038.00253567728,296.7352094899606,339.6448341978679,32.4
5.2%,5199974,-442375.04855993064,86434.9900567435,301.6099169426024,340.03283842953215,32.4
5.4%,5399973,-441572.2996700071,85763.21236057335,299.26578738334916,341.07828251695946,32.4
5.6%,5599972,-441725.28668943467,84300.84844442409,294.1629527674132,340.6850050716852,32.4
5.8%,5799971,-441342.43342563184,85729.3738109704,299.1477097144734,340.2477720256965,32.4
6.0%,5999970,-441396.4016788895,85175.12083413871,297.2136758909298,341.27993472038156,32.4
6.2%,6199969,-441094.6117029772,84741.05504910334,295.6990283473112,340.55474425181205,32.4
6.4%,6399968,-441925.49980526324,85597.06187716057,298.6860148459867,339.78500398909677,32.4
6.6%,6599967,-441365.348263782,84750.4437612721,295.73178971739475,339.6125058877326,32.4
6.8%,6799966,-441204.5891551939,86259.3081821382,300.9968851649249,339.7316949549256,32.4
7.0%,6999965,-440966.56653711805,85535.14406058233,298.4699561930827,340.2268023302467,32.4
7.2%,7199964,-441497.1327061611,84856.81134155067,296.10295325929076,340.80808970107296,32.4
7.4%,7399963,-440423.43201606907,85403.19520433643,298.00952826283276,340.4450390735426,32.4
7.6%,7599962,-440533.2055611545,86613.9639612753,302.23443606900355,339.06681388291474,32.4
7.8%,7799961,-441556.34942955244,85897.9798075867,299.73605062365937,340.5764113496557,32.4
8.0%,7999960,-441917.57585492544,85102.24536318117,296.95938113450967,340.73805829308793,32.4
8.2%,8199959,-440442.4860455934,85132.14509852661,297.06371453801006,340.87079893545405,32.4
8.4%,8399958,-440842.8189962604,85646.02533487545,298.8568700101385,341.84874293026695,32.4
8.6%,8599957,-441108.78483965434,85524.37238889316,298.4323690654464,342.1526271838545,32.4
