#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
0.2%,199999,-451004.9953845544,87265.03689786713,297.86078357943796,347.64146920942596,0
0.4%,399998,-450873.71342806006,87232.0260831269,297.74810813123264,348.31724866651984,32.5
0.6%,599997,-452194.935303668,86798.45176299044,296.2681937081526,346.68877713959944,32.5
0.8%,799996,-451522.47316095745,86804.12453568354,296.28755652033374,348.1774046405987,32.5
1.0%,999995,-450932.8918649256,87478.08905890898,298.58799216018366,348.466990238865,32.5
1.2%,1199994,-452198.9838699079,86523.26009646908,295.3288850418362,348.45242986030047,32.5
1.4%,1399993,-452369.36126743676,87059.14716039781,297.1580224197154,346.4850983885036,32.5
1.6%,1599992,-452922.4763982943,87006.11578983295,296.9770110301342,348.433832009283,32.5
1.8%,1799991,-450504.18123038346,87345.326063369,298.1348336984715,349.1743768432828,32.5
2.0%,1999990,-450999.33231800003,86451.76314282638,295.0848452821272,347.72624292523983,32.5
2.2%,2199989,-451288.077842867,87484.28442122787,298.60913872174444,347.80576179179985,32.4
2.4%,2399988,-452588.11828596797,87584.18354373578,298.95012328975565,346.2689917006247,32.4
2.6%,2599987,-451680.84597575385,85968.56619166036,293.43555448235406,347.2519656803723,32.4
2.8%,2799986,-451448.78488323325,87375.8767128184,298.23911189174737,349.13804626252283,32.4
3.0%,2999985,-450895.16450501233,87683.83936610934,299.290277404114,348.54255504594323,32.4
3.2%,3199984,-451763.8261841545,87635.34803110559,299.1247624676116,349.3699483238312,32.3
3.4%,3399983,-452496.3842305653,87064.48696218256,297.1762487059843,349.3010710286772,32.3
3.6%,3599982,-451696.0441073645,88213.68268353253,301.0987857290083,348.6408113341655,32.3
3.8%,3799981,-451499.54908873746,87600.55130315281,299.0059911816251,347.2004066749299,32.3
4.0%,3999980,-452190.569861826,87547.99781206029,298.8266109327521,347.19714294947477,32.3
4.2%,4199979,-450353.8469014163,87720.35681553173,299.41492200962773,348.83057707623,32.3
4.4%,4399978,-450743.7710796152,86633.32640932058,295.70457316799855,349.23956452119046,32.3
4.6%,4599977,-452276.172785664,87095.87612565735,297.28338898989256,348.6600322932871,32.3
4.8%,4799976,-451792.5886619622,87483.03285255334,298.6048667562545,347.76464513815904,32.3
5.0%,4999975,-450655.6063360553,86795.69417145397,296.2587812515142,348.7894372920504,32.3
5.2%,5199974,-451910.98990076734,87281.92893936497,297.918440997525,347.918202704376,32.3
5.4%,5399973,-451848.54607458087,87527.49540570675,298.75663029630454,347.85019189353056,32.3
5.6%,5599972,-451652.3825103841,86834.69859854806,296.39191463035996,349.10268036650865,32.3
5.8%,5799971,-453436.6490528146,87335.48524563212,298.10124414432283,348.8817862690859,32.3
6.0%,5999970,-451187.0270338501,87442.9081683302,298.4679096161623,349.23861800551987,32.3
6.2%,6199969,-451635.7052435484,87689.50739749464,299.3096240328418,347.70687205760413,32.3
6.4%,6399968,-451862.2494828012,87264.55182955624,297.8591279011468,347.7787026342213,32.3
6.6%,6599967,-450333.48121333634,87251.89378849187,297.8159223498281,350.2023421382652,32.3
6.8%,6799966,-450413.90655018156,86839.40710479277,296.40798612255657,349.1385757957779,32.3
7.0%,6999965,-450600.97604765743,86852.19580463838,296.45163765004554,347.8218118682046,32.3
7.2%,7199964,-450035.0346109173,87213.20437375735,297.6838641991791,349.237413523448,32.3
7.4%,7399963,-451644.1236338597,87268.76500581915,297.87350868900455,347.70003503595865,32.3
7.6%,7599962,-451014.7132488247,87695.35283692417,299.32957620648125,347.70561064410697,32.3
7.8%,7799961,-450070.66152651,87110.19769443898,297.3322726419372,350.25344937323473,32.3
8.0%,7999960,-451864.53479750967,87195.13346430071,297.62218296414966,347.8914010208831,32.3
8.2%,8199959,-451165.9185135197,87417.2177225668,298.3802207022786,348.1267962628398,32.3
